100 4950
5 63 15
5 64 53
5 65 56
5 66 15
5 67 10
5 68 52
5 69 52
5 70 11
5 71 27
5 72 35
5 73 17
5 74 28
5 75 19
5 76 44
5 77 20
5 78 12
5 79 43
5 80 49
5 81 21
5 82 8
5 83 31
5 84 9
5 85 37
5 86 15
5 87 52
5 88 50
5 89 11
5 90 44
5 91 7
5 92 34
5 93 54
5 94 44
5 95 48
5 96 27
5 97 28
5 98 33
5 99 32
5 100 43
6 7 16
6 8 22
6 9 46
6 10 8
6 11 20
6 12 11
6 13 54
6 14 23
6 15 28
6 16 29
6 17 44
6 18 32
6 19 34
6 20 52
6 21 44
6 22 56
6 23 31
6 24 13
6 25 31
6 26 32
6 27 17
6 28 50
6 29 25
6 30 8
6 31 37
6 32 27
6 33 36
6 34 26
6 35 33
6 36 50
6 37 15
6 38 55
6 39 41
6 40 38
6 41 26
6 42 9
6 43 23
6 44 40
6 45 51
6 46 49
6 47 29
6 48 33
6 49 45
6 50 48
6 51 49
6 52 50
6 53 16
6 54 9
6 55 36
6 56 30
6 57 36
6 58 50
6 59 43
6 60 38
6 61 10
6 62 18
6 63 29
6 64 18
6 65 25
6 66 30
6 67 55
6 68 20
6 69 25
6 70 44
6 71 18
6 72 13
6 73 14
6 74 40
6 75 36
6 76 56
6 77 42
6 78 14
6 79 20
6 80 45
6 81 41
6 82 53
6 83 28
6 84 41
6 85 19
6 86 36
6 87 44
6 88 47
6 89 50
6 90 48
6 91 41
6 92 55
6 93 48
6 94 38
6 95 8
6 96 16
6 97 44
6 98 17
6 99 34
6 100 52
7 8 9
7 9 34
7 10 41
7 11 52
7 12 8
7 13 42
7 14 25
7 15 42
7 16 39
7 17 28
7 18 32
7 19 27
7 20 38
7 21 15
7 22 17
7 23 25
7 24 25
7 25 27
7 26 32
7 27 53
7 28 32
7 29 40
7 30 54
7 31 19
7 32 39
7 33 28
7 34 28
7 35 9
7 36 12
7 37 49
7 38 24
7 39 48
7 40 56
7 41 9
7 42 40
7 43 43
7 44 31
7 45 29
7 46 21
7 47 55
7 48 17
7 49 29
7 50 36
7 51 14
7 52 25
7 53 22
7 54 54
7 55 19
7 56 8
7 57 19
7 58 52
7 59 27
7 60 20
7 61 35
7 62 26
7 63 41
7 64 45
7 65 27
7 66 56
7 67 14
7 68 13
7 69 36
7 70 9
7 71 12
7 72 18
7 73 39
7 74 48
7 75 24
7 76 53
7 77 56
7 78 32
7 79 9
7 80 39
7 81 27
7 82 35
7 83 31
7 84 13
7 85 56
7 86 25
7 87 36
7 88 30
7 89 45
7 90 20
7 91 39
7 92 48
7 93 41
7 94 53
7 95 38
7 96 56
7 97 56
7 98 34
7 99 35
7 100 42
8 9 36
8 10 50
8 11 48
8 12 9
8 13 44
8 14 37
8 15 28
8 16 37
8 17 22
8 18 10
8 19 7
8 20 54
8 21 11
8 22 38
8 23 48
8 24 10
8 25 19
8 26 21
8 27 46
8 28 9
8 29 9
8 30 41
8 31 14
8 32 26
8 33 36
8 34 18
8 35 33
8 36 40
8 37 7
8 38 22
8 39 17
8 40 52
8 41 9
8 42 14
8 43 23
8 44 39
8 45 23
8 46 28
8 47 10
8 48 8
8 49 43
8 50 52
8 51 11
8 52 16
8 53 31
8 54 40
8 55 36
8 56 53
8 57 26
8 58 19
8 59 22
8 60 23
8 61 26
8 62 23
8 63 20
8 64 44
8 65 24
8 66 41
8 67 27
8 68 41
8 69 15
8 70 15
8 71 45
8 72 29
8 73 28
8 74 40
8 75 36
8 76 24
8 77 26
8 78 48
8 79 33
8 80 20
8 81 37
8 82 20
8 83 7
8 84 27
8 85 12
8 86 22
8 87 9
8 88 41
8 89 27
8 90 51
8 91 32
8 92 34
8 93 30
8 94 46
8 95 50
8 96 52
8 97 15
8 98 29
8 99 41
8 100 52
9 10 34
9 11 46
9 12 30
9 13 51
9 14 15
9 15 18
9 16 56
9 17 46
9 18 53
9 19 28
9 20 50
9 21 38
9 22 31
9 23 13
9 24 20
9 25 53
9 26 21
9 27 35
9 28 42
9 29 48
9 30 16
9 31 51
9 32 17
9 33 45
9 34 33
9 35 22
9 36 34
9 37 30
9 38 9
9 39 26
9 40 56
9 41 8
9 42 14
9 43 19
9 44 23
9 45 25
9 46 8
9 47 8
9 48 12
9 49 33
9 50 14
9 51 50
9 52 23
9 53 21
9 54 22
9 55 35
9 56 53
9 57 48
9 58 26
9 59 51
9 60 11
9 61 44
9 62 25
9 63 37
9 64 25
9 65 19
9 66 19
9 67 52
9 68 48
9 69 16
9 70 48
9 71 42
9 72 42
9 73 22
9 74 9
9 75 56
9 76 47
9 77 52
9 78 29
9 79 39
9 80 54
9 81 37
9 82 27
9 83 30
9 84 51
9 85 7
9 86 40
9 87 24
9 88 25
9 89 50
9 90 45
9 91 42
9 92 55
9 93 32
9 94 30
9 95 50
9 96 43
9 97 50
9 98 46
9 99 25
9 100 50
10 11 48
10 12 33
10 13 28
10 14 26
10 15 52
10 16 33
10 17 14
10 18 19
10 19 13
10 20 12
10 21 30
10 22 24
10 23 40
10 24 34
10 25 44
10 26 45
10 27 45
10 28 28
10 29 55
10 30 23
10 31 7
10 32 11
10 33 19
10 34 17
10 35 19
10 36 45
10 37 17
10 38 18
10 39 27
10 40 30
10 41 29
10 42 49
10 43 21
10 44 18
10 45 36
10 46 45
10 47 18
10 48 36
10 49 7
10 50 11
10 51 47
10 52 11
10 53 33
10 54 23
10 55 38
10 56 49
10 57 15
10 58 20
10 59 27
10 60 14
10 61 26
10 62 33
10 63 9
10 64 53
10 65 14
10 66 30
10 67 28
10 68 42
10 69 34
10 70 53
10 71 13
10 72 29
10 73 10
10 74 37
10 75 10
10 76 51
10 77 38
10 78 56
10 79 35
10 80 15
10 81 17
10 82 18
10 83 8
10 84 42
10 85 20
10 86 23
10 87 15
10 88 29
10 89 56
10 90 31
10 91 46
10 92 56
10 93 50
10 94 51
10 95 30
10 96 53
10 97 41
10 98 21
10 99 8
10 100 49
11 12 17
11 13 7
11 14 56
11 15 20
11 16 46
11 17 32
11 18 34
11 19 50
11 20 26
11 21 26
11 22 46
11 23 18
11 24 44
11 25 11
11 26 24
11 27 55
11 28 51
11 29 21
11 30 25
11 31 17
11 32 14
11 33 45
11 34 31
11 35 10
11 36 13
11 37 14
11 38 31
11 39 8
11 40 21
11 41 22
11 42 55
11 43 24
11 44 52
11 45 32
11 46 41
11 47 27
11 48 36
11 49 45
11 50 41
11 51 31
11 52 43
11 53 28
11 54 21
11 55 38
11 56 27
11 57 51
11 58 42
11 59 49
11 60 38
11 61 56
11 62 27
11 63 23
11 64 7
11 65 47
11 66 30
11 67 52
11 68 53
11 69 16
11 70 41
11 71 30
11 72 28
11 73 38
11 74 7
11 75 56
11 76 26
11 77 19
11 78 38
11 79 9
11 80 36
11 81 42
11 82 39
11 83 8
11 84 54
11 85 27
11 86 11
11 87 40
11 88 7
11 89 7
11 90 27
11 91 54
11 92 30
11 93 55
11 94 44
11 95 18
11 96 56
11 97 16
11 98 16
11 99 20
11 100 27
12 13 40
12 14 31
12 15 45
12 16 35
12 17 49
12 18 49
12 19 15
12 20 17
12 21 18
12 22 40
12 23 21
12 24 16
12 25 12
12 26 51
12 27 11
12 28 29
12 29 45
12 30 41
12 31 14
12 32 11
12 33 20
12 34 31
12 35 52
12 36 12
12 37 23
12 38 27
12 39 42
12 40 21
12 41 39
12 42 37
12 43 36
12 44 15
12 45 47
12 46 35
12 47 29
12 48 8
12 49 28
12 50 28
12 51 9
12 52 19
12 53 35
12 54 22
12 55 19
12 56 53
12 57 20
12 58 40
12 59 54
12 60 22
12 61 43
12 62 17
12 63 22
12 64 20
12 65 7
12 66 13
12 67 19
12 68 56
12 69 36
12 70 22
12 71 17
12 72 26
12 73 8
12 74 10
12 75 52
12 76 45
12 77 18
12 78 27
12 79 26
12 80 27
12 81 35
12 82 48
12 83 22
12 84 31
12 85 47
12 86 50
12 87 41
12 88 8
12 89 40
12 90 35
12 91 14
12 92 39
12 93 23
12 94 40
12 95 36
12 96 35
12 97 8
12 98 26
12 99 51
12 100 54
13 14 41
13 15 51
13 16 30
13 17 20
13 18 56
13 19 24
13 20 55
13 21 36
13 22 44
13 23 34
13 24 26
13 25 11
13 26 40
13 27 32
13 28 8
13 29 52
13 30 13
13 31 39
13 32 22
13 33 31
13 34 47
13 35 36
13 36 17
13 37 41
13 38 14
13 39 21
13 40 50
13 41 43
13 42 36
13 43 38
13 44 42
13 45 50
13 46 16
13 47 53
13 48 33
13 49 37
13 50 42
13 51 48
13 52 13
13 53 26
13 54 37
13 55 21
13 56 51
13 57 50
13 58 17
13 59 7
13 60 33
13 61 40
13 62 40
13 63 28
13 64 15
13 65 22
13 66 13
13 67 15
13 68 40
13 69 25
13 70 16
13 71 48
13 72 51
13 73 17
13 74 47
13 75 10
13 76 34
13 77 25
13 78 40
13 79 37
13 80 27
13 81 29
13 82 47
13 83 44
13 84 28
13 85 19
13 86 52
13 87 17
13 88 10
13 89 52
13 90 51
13 91 15
13 92 33
13 93 51
13 94 17
13 95 55
13 96 22
13 97 56
13 98 31
13 99 48
13 100 26
14 15 25
14 16 36
14 17 40
14 18 45
14 19 50
14 20 55
14 21 29
14 22 18
14 23 15
14 24 39
14 25 48
14 26 48
14 27 19
14 28 10
14 29 24
14 30 46
14 31 28
14 32 49
14 33 28
14 34 37
14 35 42
14 36 32
14 37 26
14 38 39
14 39 28
14 40 50
14 41 30
14 42 42
14 43 21
14 44 35
14 45 55
14 46 13
14 47 27
14 48 41
14 49 44
14 50 33
14 51 38
14 52 7
14 53 47
14 54 51
14 55 54
14 56 56
14 57 36
14 58 11
14 59 19
14 60 42
14 61 22
14 62 51
14 63 31
14 64 33
14 65 22
14 66 37
14 67 56
14 68 8
14 69 39
14 70 49
14 71 37
14 72 23
14 73 16
14 74 25
14 75 13
14 76 50
14 77 24
14 78 9
14 79 37
14 80 19
14 81 16
14 82 23
14 83 49
14 84 52
14 85 9
14 86 55
14 87 35
14 88 12
14 89 35
14 90 14
14 91 23
14 92 16
14 93 20
14 94 7
14 95 11
14 96 30
14 97 49
14 98 47
14 99 8
14 100 52
15 16 12
15 17 27
15 18 28
15 19 30
15 20 14
15 21 17
15 22 14
15 23 41
15 24 15
15 25 35
15 26 16
15 27 15
15 28 24
15 29 30
15 30 50
15 31 54
15 32 21
15 33 37
15 34 33
15 35 35
15 36 35
15 37 23
15 38 46
15 39 24
15 40 10
15 41 44
15 42 56
15 43 55
15 44 29
15 45 33
15 46 37
15 47 24
15 48 33
15 49 52
15 50 21
15 51 14
15 52 7
15 53 18
15 54 55
15 55 31
15 56 18
15 57 28
15 58 8
15 59 51
15 60 17
15 61 56
15 62 32
15 63 21
15 64 36
15 65 49
15 66 14
15 67 9
15 68 40
15 69 32
15 70 10
15 71 35
15 72 49
15 73 23
15 74 52
15 75 33
15 76 34
15 77 15
15 78 16
15 79 47
15 80 50
15 81 37
15 82 37
15 83 49
15 84 20
15 85 38
15 86 9
15 87 33
15 88 19
15 89 26
15 90 31
15 91 22
15 92 36
15 93 18
15 94 36
15 95 36
15 96 15
15 97 45
15 98 10
15 99 27
15 100 34
16 17 39
16 18 50
16 19 40
16 20 34
16 21 22
16 22 44
16 23 46
16 24 28
16 25 37
16 26 25
16 27 12
16 28 8
16 29 9
16 30 23
16 31 47
16 32 41
16 33 23
16 34 16
16 35 18
16 36 47
16 37 30
16 38 18
16 39 30
16 40 50
16 41 48
16 42 8
16 43 55
16 44 34
16 45 9
16 46 40
16 47 21
16 48 11
16 49 52
16 50 12
16 51 56
16 52 10
16 53 16
16 54 10
16 55 15
16 56 35
16 57 37
16 58 40
16 59 54
16 60 27
16 61 43
16 62 56
16 63 46
16 64 20
16 65 33
16 66 20
16 67 47
16 68 11
16 69 8
16 70 43
16 71 16
16 72 41
16 73 9
16 74 28
16 75 39
16 76 44
16 77 10
16 78 28
16 79 48
16 80 39
16 81 51
16 82 38
16 83 22
16 84 15
16 85 49
16 86 47
16 87 20
16 88 27
16 89 24
16 90 49
16 91 34
16 92 10
16 93 47
16 94 19
16 95 37
16 96 34
16 97 29
16 98 51
16 99 22
16 100 46
17 18 44
17 19 13
17 20 13
17 21 36
17 22 31
17 23 50
17 24 42
17 25 43
17 26 12
17 27 32
17 28 39
17 29 20
17 30 27
17 31 27
17 32 35
17 33 16
17 34 46
17 35 43
17 36 46
17 37 35
17 38 30
17 39 50
17 40 14
17 41 32
17 42 31
17 43 31
17 44 38
17 45 38
17 46 33
17 47 56
17 48 36
17 49 34
17 50 34
17 51 8
17 52 29
17 53 36
17 54 13
17 55 10
17 56 44
17 57 8
17 58 48
17 59 48
17 60 31
17 61 33
17 62 36
17 63 31
17 64 50
17 65 41
17 66 45
17 67 34
17 68 7
17 69 36
17 70 33
17 71 19
17 72 19
17 73 34
17 74 18
17 75 17
17 76 26
17 77 50
17 78 38
17 79 25
17 80 54
17 81 17
17 82 30
17 83 24
17 84 11
17 85 27
17 86 29
17 87 52
17 88 44
17 89 24
17 90 17
17 91 9
17 92 53
17 93 49
17 94 38
17 95 38
17 96 12
17 97 46
17 98 55
17 99 11
17 100 34
18 19 17
18 20 43
18 21 48
18 22 45
18 23 32
18 24 12
18 25 14
18 26 31
18 27 47
18 28 51
18 29 44
18 30 17
18 31 16
18 32 42
18 33 30
18 34 47
18 35 18
18 36 25
18 37 16
18 38 21
18 39 23
18 40 13
18 41 16
18 42 8
18 43 53
18 44 53
18 45 21
18 46 24
18 47 35
18 48 26
18 49 20
18 50 22
18 51 46
18 52 20
18 53 33
18 54 14
18 55 24
18 56 50
18 57 21
18 58 44
18 59 38
18 60 27
18 61 24
18 62 24
18 63 28
18 64 50
18 65 14
18 66 16
18 67 31
18 68 25
18 69 53
18 70 37
18 71 16
18 72 17
18 73 7
18 74 55
18 75 7
18 76 19
18 77 42
18 78 12
18 79 35
18 80 31
18 81 41
18 82 50
18 83 49
18 84 24
18 85 24
18 86 35
18 87 34
18 88 21
18 89 52
18 90 44
18 91 55
18 92 17
18 93 10
18 94 10
18 95 48
18 96 51
18 97 15
18 98 54
18 99 33
18 100 7
19 20 12
19 21 34
19 22 40
19 23 40
19 24 26
19 25 45
19 26 35
19 27 42
19 28 45
19 29 25
19 30 20
19 31 22
19 32 41
19 33 43
19 34 33
19 35 43
19 36 21
19 37 47
19 38 44
19 39 42
19 40 41
19 41 52
19 42 29
19 43 29
19 44 18
19 45 8
19 46 46
19 47 19
19 48 13
19 49 54
19 50 19
19 51 23
19 52 13
19 53 43
19 54 11
19 55 25
19 56 15
19 57 18
19 58 38
19 59 56
19 60 35
19 61 56
19 62 10
19 63 36
19 64 42
19 65 15
19 66 15
19 67 37
19 68 31
19 69 39
19 70 54
19 71 14
19 72 27
19 73 31
19 74 51
19 75 27
19 76 32
19 77 51
19 78 24
19 79 15
19 80 36
19 81 51
19 82 43
19 83 51
19 84 30
19 85 18
19 86 56
19 87 13
19 88 39
19 89 7
19 90 31
19 91 31
19 92 11
19 93 34
19 94 18
19 95 19
19 96 32
19 97 37
19 98 40
19 99 26
19 100 27
20 21 48
20 22 22
20 23 7
20 24 17
20 25 46
20 26 39
20 27 33
20 28 25
20 29 52
20 30 42
20 31 48
20 32 35
20 33 18
20 34 25
20 35 44
20 36 40
20 37 22
20 38 32
20 39 14
20 40 49
20 41 51
20 42 20
20 43 16
20 44 15
20 45 50
20 46 19
20 47 9
20 48 22
20 49 35
20 50 48
20 51 17
20 52 39
20 53 30
20 54 50
20 55 50
20 56 56
20 57 26
20 58 42
20 59 30
20 60 37
20 61 43
20 62 54
20 63 41
20 64 30
20 65 38
20 66 12
20 67 38
20 68 23
20 69 40
20 70 21
20 71 19
20 72 33
20 73 27
20 74 10
20 75 11
20 76 7
20 77 49
20 78 17
20 79 16
20 80 24
20 81 30
20 82 42
20 83 10
20 84 47
20 85 13
20 86 36
20 87 43
20 88 56
20 89 21
20 90 51
20 91 48
20 92 30
20 93 15
20 94 14
20 95 15
20 96 42
20 97 18
20 98 25
20 99 55
20 100 27
21 22 15
21 23 38
21 24 14
21 25 49
21 26 26
21 27 48
21 28 16
21 29 32
21 30 34
21 31 27
21 32 24
21 33 23
21 34 50
21 35 49
21 36 27
21 37 20
21 38 8
21 39 39
21 40 15
21 41 19
21 42 52
21 43 52
21 44 35
21 45 20
21 46 53
21 47 16
21 48 28
21 49 51
21 50 53
21 51 53
21 52 27
21 53 21
21 54 16
21 55 20
21 56 41
21 57 21
21 58 55
21 59 26
21 60 9
21 61 24
21 62 35
21 63 8
21 64 12
21 65 55
21 66 8
21 67 13
21 68 50
21 69 44
21 70 23
21 71 48
21 72 32
21 73 15
21 74 53
21 75 43
21 76 7
21 77 54
21 78 10
21 79 16
21 80 51
21 81 17
21 82 13
21 83 23
21 84 8
21 85 13
21 86 17
21 87 19
21 88 18
21 89 33
21 90 35
21 91 49
21 92 40
21 93 17
21 94 51
21 95 30
21 96 7
21 97 8
21 98 13
21 99 18
21 100 15
22 23 45
22 24 47
22 25 28
22 26 51
22 27 34
22 28 28
22 29 35
22 30 8
22 31 21
22 32 51
22 33 34
22 34 17
22 35 23
22 36 11
22 37 11
22 38 30
22 39 43
22 40 47
22 41 15
22 42 15
22 43 30
22 44 40
22 45 14
22 46 51
22 47 17
22 48 56
22 49 27
22 50 23
22 51 7
22 52 31
22 53 47
22 54 54
22 55 31
22 56 55
22 57 37
22 58 37
22 59 36
22 60 56
22 61 49
22 62 18
22 63 45
22 64 46
22 65 15
22 66 14
22 67 21
22 68 48
22 69 37
22 70 25
22 71 40
22 72 32
22 73 17
22 74 50
22 75 19
22 76 19
22 77 49
22 78 38
22 79 33
22 80 54
22 81 26
22 82 33
22 83 50
22 84 49
22 85 39
22 86 49
22 87 49
22 88 35
22 89 15
22 90 14
22 91 33
22 92 8
22 93 52
22 94 46
22 95 54
22 96 56
22 97 20
22 98 43
22 99 51
22 100 31
23 24 34
23 25 25
23 26 54
23 27 33
23 28 42
23 29 25
23 30 22
23 31 30
23 32 27
23 33 12
23 34 27
23 35 46
23 36 16
23 37 49
23 38 32
23 39 13
23 40 18
23 41 47
23 42 34
23 43 7
23 44 31
23 45 39
23 46 24
23 47 8
23 48 34
23 49 52
23 50 26
23 51 49
23 52 14
23 53 36
23 54 37
23 55 13
23 56 9
23 57 9
23 58 34
23 59 38
23 60 23
23 61 40
23 62 13
23 63 19
23 64 45
23 65 13
23 66 29
23 67 49
23 68 30
23 69 27
23 70 25
23 71 10
23 72 14
23 73 42
23 74 56
23 75 24
23 76 26
23 77 56
23 78 12
23 79 26
23 80 55
23 81 27
23 82 28
23 83 36
23 84 31
23 85 27
23 86 22
23 87 31
23 88 50
23 89 39
23 90 54
23 91 40
23 92 32
23 93 26
23 94 7
23 95 7
23 96 17
23 97 16
23 98 7
23 99 17
23 100 13
24 25 7
24 26 31
24 27 52
24 28 53
24 29 49
24 30 53
24 31 40
24 32 42
24 33 53
24 34 55
24 35 37
24 36 31
24 37 30
24 38 29
24 39 15
24 40 29
24 41 12
24 42 7
24 43 18
24 44 40
24 45 44
24 46 20
24 47 26
24 48 27
24 49 13
24 50 34
24 51 25
24 52 30
24 53 45
24 54 35
24 55 12
24 56 21
24 57 45
24 58 43
24 59 54
24 60 41
24 61 10
24 62 35
24 63 54
24 64 46
24 65 53
24 66 41
24 67 55
24 68 38
24 69 49
24 70 20
24 71 11
24 72 13
24 73 7
24 74 26
24 75 45
24 76 40
24 77 17
24 78 27
24 79 19
24 80 20
24 81 32
24 82 30
24 83 7
24 84 52
24 85 7
24 86 52
24 87 35
24 88 56
24 89 13
24 90 37
24 91 45
24 92 43
24 93 36
24 94 15
24 95 51
24 96 49
24 97 10
24 98 17
24 99 37
24 100 18
25 26 40
25 27 24
25 28 21
25 29 46
25 30 55
25 31 15
25 32 8
25 33 21
25 34 34
25 35 23
25 36 22
25 37 21
25 38 12
25 39 18
25 40 29
25 41 14
25 42 56
25 43 33
25 44 14
25 45 31
25 46 14
25 47 13
25 48 20
25 49 38
25 50 54
25 51 40
25 52 27
25 53 9
25 54 44
25 55 31
25 56 14
25 57 23
25 58 41
25 59 56
25 60 32
25 61 56
25 62 52
25 63 34
25 64 42
25 65 49
25 66 53
25 67 23
25 68 39
25 69 36
25 70 31
25 71 54
25 72 8
25 73 53
25 74 29
25 75 13
25 76 32
25 77 35
25 78 50
25 79 36
25 80 38
25 81 14
25 82 34
25 83 14
25 84 18
25 85 31
25 86 23
25 87 19
25 88 55
25 89 47
25 90 54
25 91 13
25 92 43
25 93 50
25 94 9
25 95 40
25 96 23
25 97 38
25 98 15
25 99 17
25 100 33
26 27 47
26 28 15
26 29 17
26 30 54
26 31 41
26 32 28
26 33 22
26 34 12
26 35 23
26 36 56
26 37 12
26 38 29
26 39 39
26 40 35
26 41 9
26 42 34
26 43 24
26 44 17
26 45 18
26 46 39
26 47 32
26 48 50
26 49 32
26 50 54
26 51 7
26 52 35
26 53 34
26 54 55
26 55 25
26 56 25
26 57 9
26 58 29
26 59 48
26 60 25
26 61 55
26 62 30
26 63 23
26 64 22
26 65 48
26 66 21
26 67 39
26 68 51
26 69 13
26 70 12
26 71 41
26 72 11
26 73 33
26 74 39
26 75 48
26 76 41
26 77 52
26 78 51
26 79 47
26 80 10
26 81 48
26 82 10
26 83 26
26 84 20
26 85 46
26 86 9
26 87 29
26 88 23
26 89 10
26 90 20
26 91 11
26 92 16
26 93 36
26 94 41
26 95 7
26 96 11
26 97 14
26 98 30
26 99 27
26 100 31
27 28 16
27 29 51
27 30 45
27 31 20
27 32 48
27 33 26
27 34 24
27 35 45
27 36 33
27 37 18
27 38 7
27 39 22
27 40 39
27 41 27
27 42 41
27 43 24
27 44 48
27 45 52
27 46 47
27 47 28
27 48 16
27 49 43
27 50 37
27 51 30
27 52 29
27 53 52
27 54 46
27 55 46
27 56 14
27 57 18
27 58 7
27 59 48
27 60 17
27 61 15
27 62 17
27 63 13
27 64 15
27 65 42
27 66 31
27 67 44
27 68 56
27 69 38
27 70 19
27 71 31
27 72 15
27 73 15
27 74 40
27 75 33
27 76 46
27 77 8
27 78 17
27 79 10
27 80 45
27 81 39
27 82 39
27 83 40
27 84 44
27 85 48
27 86 21
27 87 39
27 88 42
27 89 22
27 90 43
27 91 31
27 92 49
27 93 12
27 94 21
27 95 42
27 96 23
27 97 43
27 98 13
27 99 18
27 100 7
28 29 20
28 30 21
28 31 37
28 32 39
28 33 53
28 34 50
28 35 7
28 36 15
28 37 54
